Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	3373	3385	100	2000	0.83	S19_20180408_060002.wav_3373	GreyGibbon
1	Spectrogram 1	1	6289	6301	100	2000	0.71	S19_20180408_060002.wav_6289	GreyGibbon
2	Spectrogram 1	1	6343	6355	100	2000	0.62	S19_20180408_060002.wav_6343	GreyGibbon
3	Spectrogram 1	1	6355	6367	100	2000	0.82	S19_20180408_060002.wav_6355	GreyGibbon
4	Spectrogram 1	1	6433	6445	100	2000	0.79	S19_20180408_060002.wav_6433	GreyGibbon
5	Spectrogram 1	1	6475	6487	100	2000	0.95	S19_20180408_060002.wav_6475	GreyGibbon
6	Spectrogram 1	1	6511	6523	100	2000	0.91	S19_20180408_060002.wav_6511	GreyGibbon
7	Spectrogram 1	1	6649	6661	100	2000	0.97	S19_20180408_060002.wav_6649	GreyGibbon
8	Spectrogram 1	1	6697	6709	100	2000	0.98	S19_20180408_060002.wav_6697	GreyGibbon
9	Spectrogram 1	1	6859	6871	100	2000	0.79	S19_20180408_060002.wav_6859	GreyGibbon
10	Spectrogram 1	1	6907	6919	100	2000	0.97	S19_20180408_060002.wav_6907	GreyGibbon
11	Spectrogram 1	1	7051	7063	100	2000	0.76	S19_20180408_060002.wav_7051	GreyGibbon
