Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	1795	1807	100	2000	0.57	S15_20180309_060002.wav_1795	GreyGibbon
1	Spectrogram 1	1	1921	1933	100	2000	0.88	S15_20180309_060002.wav_1921	GreyGibbon
1	Spectrogram 1	1	4867	4879	100	2000	0.82	S15_20180309_060002.wav_4867	GreyGibbon
2	Spectrogram 1	1	5047	5059	100	2000	0.58	S15_20180309_060002.wav_5047	GreyGibbon
1	Spectrogram 1	1	5755	5767	100	2000	0.9	S15_20180309_060002.wav_5755	GreyGibbon
2	Spectrogram 1	1	5857	5869	100	2000	0.77	S15_20180309_060002.wav_5857	GreyGibbon
3	Spectrogram 1	1	5995	6007	100	2000	0.97	S15_20180309_060002.wav_5995	GreyGibbon
1	Spectrogram 1	1	6031	6043	100	2000	0.8	S15_20180309_060002.wav_6031	GreyGibbon
2	Spectrogram 1	1	6661	6673	100	2000	0.53	S15_20180309_060002.wav_6661	GreyGibbon
3	Spectrogram 1	1	6685	6697	100	2000	0.75	S15_20180309_060002.wav_6685	GreyGibbon
4	Spectrogram 1	1	6733	6745	100	2000	0.75	S15_20180309_060002.wav_6733	GreyGibbon
5	Spectrogram 1	1	6757	6769	100	2000	0.92	S15_20180309_060002.wav_6757	GreyGibbon
6	Spectrogram 1	1	6805	6817	100	2000	0.51	S15_20180309_060002.wav_6805	GreyGibbon
