Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	3379	3391	100	2000	0.61	S19_20180411_060002.wav_3379	GreyGibbon
1	Spectrogram 1	1	3661	3673	100	2000	0.78	S19_20180411_060002.wav_3661	GreyGibbon
1	Spectrogram 1	1	5455	5467	100	2000	0.94	S19_20180411_060002.wav_5455	GreyGibbon
2	Spectrogram 1	1	5485	5497	100	2000	1	S19_20180411_060002.wav_5485	GreyGibbon
3	Spectrogram 1	1	5533	5545	100	2000	1	S19_20180411_060002.wav_5533	GreyGibbon
4	Spectrogram 1	1	5581	5593	100	2000	1	S19_20180411_060002.wav_5581	GreyGibbon
5	Spectrogram 1	1	5635	5647	100	2000	1	S19_20180411_060002.wav_5635	GreyGibbon
6	Spectrogram 1	1	5689	5701	100	2000	1	S19_20180411_060002.wav_5689	GreyGibbon
7	Spectrogram 1	1	5743	5755	100	2000	1	S19_20180411_060002.wav_5743	GreyGibbon
8	Spectrogram 1	1	5791	5803	100	2000	1	S19_20180411_060002.wav_5791	GreyGibbon
9	Spectrogram 1	1	5845	5857	100	2000	1	S19_20180411_060002.wav_5845	GreyGibbon
10	Spectrogram 1	1	5905	5917	100	2000	1	S19_20180411_060002.wav_5905	GreyGibbon
11	Spectrogram 1	1	6001	6013	100	2000	1	S19_20180411_060002.wav_6001	GreyGibbon
1	Spectrogram 1	1	6001	6013	100	2000	1	S19_20180411_060002.wav_6001	GreyGibbon
