Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	1789	1801	100	2000	1	S18_20180328_060002.wav_1789	GreyGibbon
1	Spectrogram 1	1	1849	1861	100	2000	1	S18_20180328_060002.wav_1849	GreyGibbon
2	Spectrogram 1	1	1909	1921	100	2000	0.97	S18_20180328_060002.wav_1909	GreyGibbon
3	Spectrogram 1	1	1969	1981	100	2000	0.99	S18_20180328_060002.wav_1969	GreyGibbon
4	Spectrogram 1	1	2023	2035	100	2000	1	S18_20180328_060002.wav_2023	GreyGibbon
5	Spectrogram 1	1	2083	2095	100	2000	1	S18_20180328_060002.wav_2083	GreyGibbon
6	Spectrogram 1	1	2143	2155	100	2000	1	S18_20180328_060002.wav_2143	GreyGibbon
7	Spectrogram 1	1	2215	2227	100	2000	1	S18_20180328_060002.wav_2215	GreyGibbon
8	Spectrogram 1	1	2293	2305	100	2000	0.99	S18_20180328_060002.wav_2293	GreyGibbon
9	Spectrogram 1	1	2371	2383	100	2000	1	S18_20180328_060002.wav_2371	GreyGibbon
1	Spectrogram 1	1	2443	2455	100	2000	1	S18_20180328_060002.wav_2443	GreyGibbon
1	Spectrogram 1	1	3871	3883	100	2000	0.97	S18_20180328_060002.wav_3871	GreyGibbon
2	Spectrogram 1	1	3919	3931	100	2000	0.59	S18_20180328_060002.wav_3919	GreyGibbon
1	Spectrogram 1	1	6151	6163	100	2000	0.78	S18_20180328_060002.wav_6151	GreyGibbon
2	Spectrogram 1	1	6685	6697	100	2000	0.98	S18_20180328_060002.wav_6685	GreyGibbon
3	Spectrogram 1	1	6751	6763	100	2000	0.95	S18_20180328_060002.wav_6751	GreyGibbon
