Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	2725	2737	100	2000	0.5	S15_20180301_060002.wav_2725	GreyGibbon
1	Spectrogram 1	1	4801	4813	100	2000	0.7	S15_20180301_060002.wav_4801	GreyGibbon
1	Spectrogram 1	1	4801	4813	100	2000	0.7	S15_20180301_060002.wav_4801	GreyGibbon
2	Spectrogram 1	1	4849	4861	100	2000	0.91	S15_20180301_060002.wav_4849	GreyGibbon
3	Spectrogram 1	1	4861	4873	100	2000	0.96	S15_20180301_060002.wav_4861	GreyGibbon
4	Spectrogram 1	1	4963	4975	100	2000	0.69	S15_20180301_060002.wav_4963	GreyGibbon
5	Spectrogram 1	1	4975	4987	100	2000	0.54	S15_20180301_060002.wav_4975	GreyGibbon
6	Spectrogram 1	1	5041	5053	100	2000	0.86	S15_20180301_060002.wav_5041	GreyGibbon
7	Spectrogram 1	1	5077	5089	100	2000	0.52	S15_20180301_060002.wav_5077	GreyGibbon
8	Spectrogram 1	1	5101	5113	100	2000	0.81	S15_20180301_060002.wav_5101	GreyGibbon
1	Spectrogram 1	1	5653	5665	100	2000	0.87	S15_20180301_060002.wav_5653	GreyGibbon
2	Spectrogram 1	1	5755	5767	100	2000	0.6	S15_20180301_060002.wav_5755	GreyGibbon
1	Spectrogram 1	1	6895	6907	100	2000	0.84	S15_20180301_060002.wav_6895	GreyGibbon
