Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	1525	1537	100	2000	0.85	S12_20180215_060002.wav_1525	GreyGibbon
2	Spectrogram 1	1	1573	1585	100	2000	0.93	S12_20180215_060002.wav_1573	GreyGibbon
1	Spectrogram 1	1	3721	3733	100	2000	0.94	S12_20180215_060002.wav_3721	GreyGibbon
2	Spectrogram 1	1	3745	3757	100	2000	0.97	S12_20180215_060002.wav_3745	GreyGibbon
3	Spectrogram 1	1	3781	3793	100	2000	0.99	S12_20180215_060002.wav_3781	GreyGibbon
4	Spectrogram 1	1	3811	3823	100	2000	0.98	S12_20180215_060002.wav_3811	GreyGibbon
5	Spectrogram 1	1	3835	3847	100	2000	0.98	S12_20180215_060002.wav_3835	GreyGibbon
6	Spectrogram 1	1	3871	3883	100	2000	0.96	S12_20180215_060002.wav_3871	GreyGibbon
7	Spectrogram 1	1	3907	3919	100	2000	1	S12_20180215_060002.wav_3907	GreyGibbon
8	Spectrogram 1	1	3937	3949	100	2000	0.99	S12_20180215_060002.wav_3937	GreyGibbon
9	Spectrogram 1	1	3967	3979	100	2000	0.98	S12_20180215_060002.wav_3967	GreyGibbon
10	Spectrogram 1	1	4003	4015	100	2000	1	S12_20180215_060002.wav_4003	GreyGibbon
11	Spectrogram 1	1	4033	4045	100	2000	0.62	S12_20180215_060002.wav_4033	GreyGibbon
12	Spectrogram 1	1	4129	4141	100	2000	0.73	S12_20180215_060002.wav_4129	GreyGibbon
