Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	1867	1879	100	2000	0.8	S13_20180403_060002.wav_1867	GreyGibbon
1	Spectrogram 1	1	2653	2665	100	2000	0.81	S13_20180403_060002.wav_2653	GreyGibbon
1	Spectrogram 1	1	4681	4693	100	2000	0.51	S13_20180403_060002.wav_4681	GreyGibbon
2	Spectrogram 1	1	4777	4789	100	2000	0.72	S13_20180403_060002.wav_4777	GreyGibbon
1	Spectrogram 1	1	5041	5053	100	2000	0.98	S13_20180403_060002.wav_5041	GreyGibbon
1	Spectrogram 1	1	5485	5497	100	2000	0.99	S13_20180403_060002.wav_5485	GreyGibbon
2	Spectrogram 1	1	5545	5557	100	2000	0.98	S13_20180403_060002.wav_5545	GreyGibbon
3	Spectrogram 1	1	5683	5695	100	2000	0.95	S13_20180403_060002.wav_5683	GreyGibbon
4	Spectrogram 1	1	6001	6013	100	2000	0.89	S13_20180403_060002.wav_6001	GreyGibbon
1	Spectrogram 1	1	6001	6013	100	2000	0.89	S13_20180403_060002.wav_6001	GreyGibbon
2	Spectrogram 1	1	6337	6349	100	2000	0.97	S13_20180403_060002.wav_6337	GreyGibbon
3	Spectrogram 1	1	6487	6499	100	2000	1	S13_20180403_060002.wav_6487	GreyGibbon
4	Spectrogram 1	1	6589	6601	100	2000	0.97	S13_20180403_060002.wav_6589	GreyGibbon
5	Spectrogram 1	1	6673	6685	100	2000	0.99	S13_20180403_060002.wav_6673	GreyGibbon
6	Spectrogram 1	1	6943	6955	100	2000	1	S13_20180403_060002.wav_6943	GreyGibbon
7	Spectrogram 1	1	7027	7039	100	2000	0.66	S13_20180403_060002.wav_7027	GreyGibbon
