Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	1105	1117	100	2000	0.68	S13_20180428_060002.wav_1105	GreyGibbon
2	Spectrogram 1	1	985	997	100	2000	0.57	S13_20180428_060002.wav_985	GreyGibbon
1	Spectrogram 1	1	1669	1681	100	2000	0.62	S13_20180428_060002.wav_1669	GreyGibbon
1	Spectrogram 1	1	1963	1975	100	2000	0.9	S13_20180428_060002.wav_1963	GreyGibbon
2	Spectrogram 1	1	2023	2035	100	2000	0.97	S13_20180428_060002.wav_2023	GreyGibbon
3	Spectrogram 1	1	2209	2221	100	2000	0.65	S13_20180428_060002.wav_2209	GreyGibbon
4	Spectrogram 1	1	2251	2263	100	2000	0.99	S13_20180428_060002.wav_2251	GreyGibbon
5	Spectrogram 1	1	2275	2287	100	2000	0.95	S13_20180428_060002.wav_2275	GreyGibbon
6	Spectrogram 1	1	2317	2329	100	2000	0.9	S13_20180428_060002.wav_2317	GreyGibbon
1	Spectrogram 1	1	2509	2521	100	2000	0.76	S13_20180428_060002.wav_2509	GreyGibbon
2	Spectrogram 1	1	2587	2599	100	2000	0.99	S13_20180428_060002.wav_2587	GreyGibbon
1	Spectrogram 1	1	4123	4135	100	2000	0.79	S13_20180428_060002.wav_4123	GreyGibbon
1	Spectrogram 1	1	4627	4639	100	2000	0.75	S13_20180428_060002.wav_4627	GreyGibbon
2	Spectrogram 1	1	4765	4777	100	2000	0.81	S13_20180428_060002.wav_4765	GreyGibbon
1	Spectrogram 1	1	6355	6367	100	2000	0.94	S13_20180428_060002.wav_6355	GreyGibbon
