Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	4369	4381	100	2000	0.99	S19_20180415_060002.wav_4369	GreyGibbon
2	Spectrogram 1	1	4417	4429	100	2000	0.74	S19_20180415_060002.wav_4417	GreyGibbon
3	Spectrogram 1	1	4519	4531	100	2000	1	S19_20180415_060002.wav_4519	GreyGibbon
1	Spectrogram 1	1	4939	4951	100	2000	1	S19_20180415_060002.wav_4939	GreyGibbon
2	Spectrogram 1	1	4981	4993	100	2000	1	S19_20180415_060002.wav_4981	GreyGibbon
3	Spectrogram 1	1	5017	5029	100	2000	1	S19_20180415_060002.wav_5017	GreyGibbon
4	Spectrogram 1	1	5053	5065	100	2000	1	S19_20180415_060002.wav_5053	GreyGibbon
5	Spectrogram 1	1	5113	5125	100	2000	0.98	S19_20180415_060002.wav_5113	GreyGibbon
6	Spectrogram 1	1	5173	5185	100	2000	1	S19_20180415_060002.wav_5173	GreyGibbon
7	Spectrogram 1	1	5227	5239	100	2000	1	S19_20180415_060002.wav_5227	GreyGibbon
8	Spectrogram 1	1	5263	5275	100	2000	1	S19_20180415_060002.wav_5263	GreyGibbon
9	Spectrogram 1	1	5281	5293	100	2000	0.87	S19_20180415_060002.wav_5281	GreyGibbon
10	Spectrogram 1	1	5329	5341	100	2000	1	S19_20180415_060002.wav_5329	GreyGibbon
1	Spectrogram 1	1	5413	5425	100	2000	1	S19_20180415_060002.wav_5413	GreyGibbon
